place,comment_num
Bishan,121.4166667
Crawford,126.4615385
Frankel,120.4375
Hougang,54.66666667
Maritime Square,253.15625
Maxwell,105.6666667
Novena,147.6153846
Serangoon,72.58333333
Sembawang,60.5
Tanglin,721.5714286
Central Area/City Area,283.8459016
Tanjong Pagar,166.4
Alexandra Hill,155
Kallang,115.5714286
Lavender,202.4166667
Bedok,125.75
Bedok North,73.25
Sentosa Island,142.4285714
Toa Payoh,51.25
Ang Mo Kio,456
Ang Mo Kio Town Centre,20
City Hall,698.1666667
Singapore river/Riverside,293.2521008
Punggol,144
Changi,96.76666667
Outram,45
Bukit Batok,555
Bbukit Pajang,174.25
Bukit Timah,163.1395349
Tampines East,33.6
Tampines West,41
Marina Centre,431.3548387
Sengkang,88
Bukit Merah,113.4642857
Geylang,88
Jurong Regional Central,77.4
Jurong West,98
Jurong West Central,54.8
Clementi Central,46.25
Arab Street,331.2820513
Marine Parade,155.2121212
