rate,price_type,comment_num
3.75,1.75,121.4166667
3.961538462,1.769230769,126.4615385
4,2,120.4375
3.166666667,2,54.66666667
3.859375,2.09375,253.15625
4,1.666666667,105.6666667
3.75,1.807692308,147.6153846
4.041666667,1.916666667,72.58333333
3.75,2,60.5
4.428571429,2.142857143,721.5714286
4.050819672,2.144262295,283.8459016
4.1,2.2,166.4
3.9,1.8,155
3.928571429,2,115.5714286
4.0625,2,202.4166667
4.5,2,125.75
4.125,2,73.25
3.928571429,2.285714286,142.4285714
3.75,2,51.25
4,2,456
3.5,2,20
4.416666667,2.166666667,698.1666667
3.878151261,2.117647059,293.2521008
3.666666667,2,144
3.783333333,1.933333333,96.76666667
4,1,45
4.5,2,555
3.75,2,174.25
3.895348837,1.930232558,163.1395349
3.7,1.8,33.6
3.5,2,41
3.983870968,2.290322581,431.3548387
4,2,88
4,2.035714286,113.4642857
3.8,1.9,88
3.85,2.1,77.4
5,1,98
4.1,1.8,54.8
3.75,2,46.25
3.961538462,1.948717949,331.2820513
3.863636364,1.939393939,155.2121212
